COUNTY,VEHICLE_COUNT,COMPLETE_ELECTRIC,HYBRID_ELECTRIC
Thurston,3530,3422,108
Island,1096,1052,44
Snohomish,12359,12164,195
King,57001,55827,1174
Chelan,642,635,7
Kitsap,3295,3177,118
Yakima,489,482,7
Whitman,157,153,4
Pend Oreille,31,30,1
Pierce,7795,7575,220
Douglas,203,201,2
Skagit,1118,1087,31
Grant,293,287,6
Columbia,14,14,0
San Juan,647,625,22
Spokane,2298,2252,46
Whatcom,2486,2407,79
Clark,5805,5658,147
Cowlitz,466,454,12
Lewis,318,312,6
Benton,1151,1122,29
Kittitas,351,344,7
Stevens,112,109,3
Mason,442,431,11
Skamania,106,101,5
Clallam,567,544,23
Jefferson,587,562,25
Grays Harbor,304,293,11
Klickitat,157,153,4
Walla Walla,231,226,5
Franklin,310,305,5
Pacific,84,74,10
Okanogan,131,129,2
Wahkiakum,28,28,0
Asotin,34,34,0
Ferry,21,20,1
Adams,28,27,1
Lincoln,18,16,2
Garfield,1,1,0
