COUNTY,TOTAL VEHICLE,FIRST MOST SOLD,FIRST MOST SOLD COUNT,SECOND MOST SOLD,SECOND MOST SOLD COUNT,THIRD MOST SOLD,THIRD MOST SOLD COUNT
Thurston,3530,MODEL 3,708,LEAF,536,MODEL Y,521
Island,1096,MODEL 3,224,MODEL Y,191,LEAF,139
Snohomish,12359,MODEL Y,3476,MODEL 3,3153,LEAF,1511
King,57001,MODEL 3,14852,MODEL Y,13639,LEAF,6388
Chelan,642,MODEL Y,142,MODEL 3,115,LEAF,110
Kitsap,3295,MODEL 3,638,LEAF,570,MODEL Y,534
Yakima,489,MODEL 3,146,MODEL Y,97,MODEL S,47
Whitman,157,MODEL 3,41,MODEL Y,38,BOLT EV,13
Pend Oreille,31,MODEL 3,8,MODEL Y,7,LEAF,4
Pierce,7795,MODEL 3,1942,MODEL Y,1602,LEAF,885
Douglas,203,MODEL 3,45,MODEL Y,43,LEAF,33
Skagit,1118,MODEL 3,215,MODEL Y,196,LEAF,155
Grant,293,MODEL 3,87,MODEL Y,61,MODEL S,30
Columbia,14,F-150,5,BOLT EV,3,MODEL S,2
San Juan,647,LEAF,199,BOLT EV,70,MODEL Y,68
Spokane,2298,MODEL Y,497,MODEL 3,485,LEAF,291
Whatcom,2486,LEAF,593,MODEL 3,429,MODEL Y,367
Clark,5805,MODEL 3,1369,MODEL Y,1135,LEAF,786
Cowlitz,466,MODEL 3,117,MODEL Y,76,LEAF,51
Lewis,318,MODEL 3,72,LEAF,57,MODEL Y,37
Benton,1151,MODEL 3,325,MODEL Y,231,LEAF,118
Kittitas,351,MODEL 3,91,MODEL Y,62,MODEL S,39
Stevens,112,MODEL Y,27,MODEL 3,22,LEAF,13
Mason,442,MODEL 3,95,LEAF,61,MODEL Y,60
Skamania,106,MODEL 3,24,MODEL Y,19,BOLT EV,11
Clallam,567,LEAF,113,MODEL 3,105,MODEL Y,70
Jefferson,587,LEAF,144,MODEL 3,81,BOLT EV,78
Grays Harbor,304,MODEL 3,64,MODEL Y,41,LEAF,38
Klickitat,157,MODEL Y,37,MODEL 3,24,BOLT EV,22
Walla Walla,231,MODEL Y,51,MODEL 3,45,LEAF,32
Franklin,310,MODEL 3,104,MODEL Y,67,LEAF,31
Pacific,84,MODEL 3,15,NIRO,12,MODEL Y,11
Okanogan,131,MODEL Y,38,MODEL 3,23,BOLT EV,15
Wahkiakum,28,MODEL 3,6,MODEL Y,5,BOLT EV,4
Asotin,34,LEAF,8,MODEL 3,6,MODEL S,5
Ferry,21,MODEL 3,7,MODEL Y,5,BOLT EV,2
Adams,28,MODEL 3,7,MODEL Y,5,BOLT EV,3
Lincoln,18,MODEL 3,4,BOLT EV,3,MODEL Y,3
Garfield,1,MODEL 3,1,,0,,0
