County,Model Year,Electric Range,Base MSRP,VEHICLE
Chelan,2018,107,44900.0,BMW I3
Snohomish,2021,20,65500.0,AUDI Q5 E
Thurston,2019,25,27900.0,TOYOTA PRIUS PRIME
King,2019,99,28990.0,KIA NIRO
Kitsap,2017,107,44900.0,BMW I3
Snohomish,2021,20,65500.0,AUDI Q5 E
Kitsap,2016,19,28995.0,FORD C-MAX
Kitsap,2012,42,33995.0,CHEVROLET VOLT
Kitsap,2023,24,66900.0,BMW X5
Snohomish,2017,22,28995.0,FORD FUSION
Snohomish,2016,24,66900.0,BMW X5
Snohomish,2014,22,28995.0,FORD FUSION
Whitman,2021,107,23350.0,HYUNDAI IONIQ
Snohomish,2022,24,66900.0,BMW X5
Island,2015,107,44900.0,BMW I3
Kitsap,2019,107,44900.0,BMW I3
Yakima,2016,24,66900.0,BMW X5
Snohomish,2017,24,66900.0,BMW X5
Skagit,2021,17,49900.0,BMW X3
Kitsap,2017,21,64950.0,VOLVO XC90
Kitsap,2016,22,28995.0,FORD FUSION
Kitsap,2015,42,33995.0,CHEVROLET VOLT
Kitsap,2014,42,33995.0,CHEVROLET VOLT
Chelan,2015,16,147500.0,BMW I8
Yakima,2020,99,28990.0,KIA NIRO
Kitsap,2018,42,33995.0,CHEVROLET VOLT
Thurston,2016,22,28995.0,FORD FUSION
Yakima,2018,25,27900.0,TOYOTA PRIUS PRIME
Snohomish,2015,107,44900.0,BMW I3
Kitsap,2014,22,28995.0,FORD FUSION
Yakima,2015,22,28995.0,FORD FUSION
Douglas,2017,24,66900.0,BMW X5
Whitman,2018,16,33900.0,AUDI A3
Kitsap,2018,99,28990.0,KIA NIRO
Thurston,2018,99,28990.0,KIA NIRO
Island,2018,22,52900.0,VOLVO XC60
Island,2020,99,28990.0,KIA NIRO
Yakima,2021,21,64950.0,VOLVO XC90
Kitsap,2016,19,28995.0,FORD C-MAX
Kitsap,2021,20,65500.0,AUDI Q5 E
Thurston,2018,42,33995.0,CHEVROLET VOLT
Snohomish,2014,107,44900.0,BMW I3
Thurston,2017,22,28995.0,FORD FUSION
Kitsap,2019,25,27900.0,TOYOTA PRIUS PRIME
Thurston,2013,42,33995.0,CHEVROLET VOLT
Thurston,2018,42,33995.0,CHEVROLET VOLT
Snohomish,2023,24,66900.0,BMW X5
Spokane,2018,29,52900.0,VOLVO S90
King,2021,32,39995.0,CHRYSLER PACIFICA
King,2022,42,41900.0,TOYOTA RAV4 PRIME
Clark,2018,24,66900.0,BMW X5
Clark,2021,32,39995.0,CHRYSLER PACIFICA
Island,2017,16,33900.0,AUDI A3
King,2017,42,33995.0,CHEVROLET VOLT
King,2022,24,66900.0,BMW X5
Spokane,2018,24,66900.0,BMW X5
King,2021,20,65500.0,AUDI Q5 E
Snohomish,2014,42,33995.0,CHEVROLET VOLT
Clark,2020,32,39995.0,CHRYSLER PACIFICA
Clark,2020,99,28990.0,KIA NIRO
King,2021,32,39995.0,CHRYSLER PACIFICA
King,2015,107,44900.0,BMW I3
King,2018,18,44466.66666666666,BMW 330E
Clallam,2021,22,52900.0,VOLVO XC60
Clark,2021,22,33995.0,JEEP WRANGLER
King,2022,24,66900.0,BMW X5
King,2020,20,65500.0,AUDI Q5 E
King,2023,32,39995.0,CHRYSLER PACIFICA
Thurston,2017,25,27900.0,TOYOTA PRIUS PRIME
King,2017,25,27900.0,TOYOTA PRIUS PRIME
King,2023,32,39995.0,CHRYSLER PACIFICA
King,2018,47,33500.0,HONDA CLARITY
King,2013,42,33995.0,CHEVROLET VOLT
Clark,2019,99,28990.0,KIA NIRO
King,2017,42,33995.0,CHEVROLET VOLT
Pierce,2016,22,28995.0,FORD FUSION
Snohomish,2021,21,67900.0,LINCOLN AVIATOR
King,2014,19,28995.0,FORD C-MAX
King,2019,22,52900.0,VOLVO XC60
King,2023,22,33995.0,JEEP WRANGLER
Snohomish,2018,25,27900.0,TOYOTA PRIUS PRIME
Cowlitz,2022,32,45995.0,KIA SORENTO
King,2021,21,64950.0,VOLVO XC90
King,2021,42,41900.0,TOYOTA RAV4 PRIME
King,2015,14,81100.0,PORSCHE CAYENNE
King,2017,16,33900.0,AUDI A3
King,2022,37,25995.0,FORD ESCAPE
King,2023,22,33995.0,JEEP WRANGLER
King,2018,47,33500.0,HONDA CLARITY
Snohomish,2016,42,33995.0,CHEVROLET VOLT
King,2022,32,45995.0,KIA SORENTO
Walla Walla,2022,22,33995.0,JEEP WRANGLER
Jefferson,2017,32,39995.0,CHRYSLER PACIFICA
Yakima,2022,25,27900.0,TOYOTA PRIUS PRIME
King,2023,31,39900.0,VOLVO S60
Clark,2017,22,28995.0,FORD FUSION
King,2020,17,49900.0,BMW X3
King,2018,28,25995.0,MITSUBISHI OUTLANDER
King,2018,32,39995.0,CHRYSLER PACIFICA
King,2017,42,33995.0,CHEVROLET VOLT
Whatcom,2018,25,27900.0,TOYOTA PRIUS PRIME
King,2017,22,28995.0,FORD FUSION
King,2023,22,33995.0,JEEP WRANGLER
Pierce,2017,25,27900.0,TOYOTA PRIUS PRIME
King,2021,24,66900.0,BMW X5
King,2023,22,33995.0,JEEP WRANGLER
Clark,2017,25,27900.0,TOYOTA PRIUS PRIME
King,2012,6,27900.0,TOYOTA PRIUS PLUG-IN
King,2019,99,28990.0,KIA NIRO
Snohomish,2017,25,27900.0,TOYOTA PRIUS PRIME
King,2021,42,41900.0,TOYOTA RAV4 PRIME
King,2021,24,66900.0,BMW X5
King,2015,19,28995.0,FORD C-MAX
King,2019,47,33500.0,HONDA CLARITY
King,2023,22,33995.0,JEEP WRANGLER
Snohomish,2013,19,28995.0,FORD C-MAX
Spokane,2014,42,33995.0,CHEVROLET VOLT
Snohomish,2016,107,44900.0,BMW I3
King,2019,99,28990.0,KIA NIRO
Clark,2018,47,33500.0,HONDA CLARITY
King,2023,22,33995.0,JEEP WRANGLER
Kitsap,2022,22,33995.0,JEEP WRANGLER
King,2017,107,44900.0,BMW I3
Clark,2019,47,33500.0,HONDA CLARITY
King,2017,28,24995.0,KIA OPTIMA
Island,2023,22,33995.0,JEEP WRANGLER
King,2023,24,66900.0,BMW X5
King,2023,99,28990.0,KIA NIRO
King,2016,22,28995.0,FORD FUSION
Island,2019,25,27900.0,TOYOTA PRIUS PRIME
Clark,2013,6,27900.0,TOYOTA PRIUS PLUG-IN
King,2022,24,66900.0,BMW X5
King,2021,22,33995.0,JEEP WRANGLER
Snohomish,2017,42,33995.0,CHEVROLET VOLT
Thurston,2014,107,44900.0,BMW I3
Okanogan,2019,14,36850.0,MINI COUNTRYMAN
Mason,2018,25,27900.0,TOYOTA PRIUS PRIME
King,2023,28,25995.0,MITSUBISHI OUTLANDER
King,2013,42,33995.0,CHEVROLET VOLT
King,2021,17,49900.0,BMW X3
King,2023,22,33995.0,JEEP WRANGLER
King,2014,42,33995.0,CHEVROLET VOLT
Snohomish,2023,24,66900.0,BMW X5
Cowlitz,2022,99,28990.0,KIA NIRO
Snohomish,2015,107,44900.0,BMW I3
King,2017,18,44466.66666666666,BMW 330E
Clark,2023,21,64950.0,VOLVO XC90
Garfield,2021,42,41900.0,TOYOTA RAV4 PRIME
Thurston,2017,18,44466.66666666666,BMW 330E
