index,Make,Model,Model Year,Electric Range,VEHICLE
1384,AUDI,A3,2016,16,AUDI A3
180,AUDI,A3,2017,16,AUDI A3
105,AUDI,A3,2018,16,AUDI A3
14951,AUDI,A7,2021,24,AUDI A7
80525,AUDI,A8 E,2020,17,AUDI A8 E
91,AUDI,E-TRON,2019,204,AUDI E-TRON
1034,AUDI,E-TRON,2021,218,AUDI E-TRON
1516,AUDI,E-TRON,2021,218,AUDI E-TRON
605,AUDI,E-TRON,2022,222,AUDI E-TRON
1194,AUDI,E-TRON,2023,226,AUDI E-TRON
5470,AUDI,E-TRON SPORTBACK,2020,218,AUDI E-TRON SPORTBACK
1868,AUDI,E-TRON SPORTBACK,2021,222,AUDI E-TRON SPORTBACK
1945,AUDI,E-TRON SPORTBACK,2021,222,AUDI E-TRON SPORTBACK
896,AUDI,E-TRON SPORTBACK,2022,226,AUDI E-TRON SPORTBACK
1251,AUDI,Q4,2022,241,AUDI Q4
374,AUDI,Q4,2023,265,AUDI Q4
1510,AUDI,Q5,2022,22,AUDI Q5
2260,AUDI,Q5,2022,23,AUDI Q5
235,AUDI,Q5 E,2020,20,AUDI Q5 E
7,AUDI,Q5 E,2021,18,AUDI Q5 E
3880,AUDI,Q5 E,2021,19,AUDI Q5 E
2311,AUDI,Q5 E,2023,23,AUDI Q5 E
41947,AZURE DYNAMICS,TRANSIT CONNECT ELECTRIC,2011,56,AZURE DYNAMICS TRANSIT CONNECT ELECTRIC
45096,AZURE DYNAMICS,TRANSIT CONNECT ELECTRIC,2012,56,AZURE DYNAMICS TRANSIT CONNECT ELECTRIC
60376,BENTLEY,BENTAYGA,2020,18,BENTLEY BENTAYGA
96048,BENTLEY,BENTAYGA,2021,17,BENTLEY BENTAYGA
6361,BENTLEY,FLYING SPUR,2022,21,BENTLEY FLYING SPUR
40275,BMW,330E,2016,14,BMW 330E
556,BMW,330E,2017,14,BMW 330E
222,BMW,330E,2018,14,BMW 330E
5577,BMW,330E,2021,20,BMW 330E
23407,BMW,330E,2021,22,BMW 330E
1248,BMW,330E,2022,22,BMW 330E
4925,BMW,330E,2023,20,BMW 330E
24660,BMW,330E,2023,22,BMW 330E
671,BMW,530E,2018,16,BMW 530E
1111,BMW,530E,2018,14,BMW 530E
8102,BMW,530E,2019,15,BMW 530E
8400,BMW,530E,2019,16,BMW 530E
23683,BMW,530E,2020,20,BMW 530E
1648,BMW,530E,2021,18,BMW 530E
24597,BMW,530E,2021,21,BMW 530E
5501,BMW,530E,2022,18,BMW 530E
1599,BMW,530E,2023,18,BMW 530E
104993,BMW,530E,2023,21,BMW 530E
2385,BMW,740E,2017,14,BMW 740E
6979,BMW,740E,2018,14,BMW 740E
19462,BMW,740E,2019,14,BMW 740E
21987,BMW,745E,2020,16,BMW 745E
23471,BMW,745LE,2022,16,BMW 745LE
41,BMW,I3,2014,81,BMW I3
139,BMW,I3,2014,81,BMW I3
38,BMW,I3,2015,81,BMW I3
112,BMW,I3,2015,81,BMW I3
436,BMW,I3,2016,114,BMW I3
2209,BMW,I3,2016,114,BMW I3
13,BMW,I3,2017,114,BMW I3
60,BMW,I3,2017,114,BMW I3
5,BMW,I3,2018,114,BMW I3
133,BMW,I3,2018,114,BMW I3
43,BMW,I3,2019,153,BMW I3
924,BMW,I3,2019,153,BMW I3
1701,BMW,I3,2020,153,BMW I3
7969,BMW,I3,2020,153,BMW I3
1146,BMW,I3,2021,153,BMW I3
8417,BMW,I3,2021,153,BMW I3
38045,BMW,I3,2021,153,BMW I3
514,BMW,I4,2022,301,BMW I4
1078,BMW,I4,2023,301,BMW I4
4300,BMW,I8,2014,14,BMW I8
64,BMW,I8,2015,14,BMW I8
6797,BMW,I8,2016,14,BMW I8
50470,BMW,I8,2017,14,BMW I8
1012,BMW,I8,2019,17,BMW I8
15045,BMW,I8,2019,18,BMW I8
80386,BMW,I8,2020,17,BMW I8
1374,BMW,IX,2022,324,BMW IX
658,BMW,IX,2023,324,BMW IX
84156,BMW,IX,2024,324,BMW IX
355,BMW,X3,2020,17,BMW X3
49,BMW,X3,2021,17,BMW X3
30,BMW,X5,2016,14,BMW X5
48,BMW,X5,2017,14,BMW X5
