Model Year,Make,Model,Electric Range,VEHICLE
2019,AUDI,E-TRON,204,AUDI E-TRON
2021,AUDI,E-TRON,218,AUDI E-TRON
2021,AUDI,E-TRON,218,AUDI E-TRON
2022,AUDI,E-TRON,222,AUDI E-TRON
2023,AUDI,E-TRON,226,AUDI E-TRON
2020,AUDI,E-TRON SPORTBACK,218,AUDI E-TRON SPORTBACK
2021,AUDI,E-TRON SPORTBACK,222,AUDI E-TRON SPORTBACK
2021,AUDI,E-TRON SPORTBACK,222,AUDI E-TRON SPORTBACK
2022,AUDI,E-TRON SPORTBACK,226,AUDI E-TRON SPORTBACK
2022,AUDI,Q4,241,AUDI Q4
2023,AUDI,Q4,265,AUDI Q4
2014,BMW,I3,81,BMW I3
2014,BMW,I3,81,BMW I3
2015,BMW,I3,81,BMW I3
2015,BMW,I3,81,BMW I3
2016,BMW,I3,114,BMW I3
2016,BMW,I3,114,BMW I3
2017,BMW,I3,114,BMW I3
2017,BMW,I3,114,BMW I3
2018,BMW,I3,114,BMW I3
2018,BMW,I3,114,BMW I3
2019,BMW,I3,153,BMW I3
2019,BMW,I3,153,BMW I3
2020,BMW,I3,153,BMW I3
2020,BMW,I3,153,BMW I3
2021,BMW,I3,153,BMW I3
2021,BMW,I3,153,BMW I3
2021,BMW,I3,153,BMW I3
2022,BMW,I4,301,BMW I4
2023,BMW,I4,301,BMW I4
2022,BMW,IX,324,BMW IX
2023,BMW,IX,324,BMW IX
2024,BMW,IX,324,BMW IX
2023,CHEVROLET,BOLT EUV,247,CHEVROLET BOLT EUV
2017,CHEVROLET,BOLT EV,238,CHEVROLET BOLT EV
2018,CHEVROLET,BOLT EV,238,CHEVROLET BOLT EV
2019,CHEVROLET,BOLT EV,238,CHEVROLET BOLT EV
2020,CHEVROLET,BOLT EV,259,CHEVROLET BOLT EV
2021,CHEVROLET,BOLT EV,259,CHEVROLET BOLT EV
2022,CHEVROLET,BOLT EV,259,CHEVROLET BOLT EV
2023,CHEVROLET,BOLT EV,259,CHEVROLET BOLT EV
2014,CHEVROLET,SPARK,82,CHEVROLET SPARK
2015,CHEVROLET,SPARK,82,CHEVROLET SPARK
2016,CHEVROLET,SPARK,82,CHEVROLET SPARK
2013,FIAT,500,87,FIAT 500
2014,FIAT,500,87,FIAT 500
2015,FIAT,500,87,FIAT 500
2016,FIAT,500,84,FIAT 500
2017,FIAT,500,84,FIAT 500
2018,FIAT,500,84,FIAT 500
2019,FIAT,500,84,FIAT 500
2022,FORD,F-150,230,FORD F-150
2023,FORD,F-150,320,FORD F-150
2012,FORD,FOCUS,76,FORD FOCUS
2013,FORD,FOCUS,76,FORD FOCUS
2014,FORD,FOCUS,76,FORD FOCUS
2015,FORD,FOCUS,76,FORD FOCUS
2016,FORD,FOCUS,76,FORD FOCUS
2017,FORD,FOCUS,100,FORD FOCUS
2018,FORD,FOCUS,100,FORD FOCUS
2021,FORD,MUSTANG MACH-E,305,FORD MUSTANG MACH-E
2022,FORD,MUSTANG MACH-E,314,FORD MUSTANG MACH-E
2023,FORD,MUSTANG MACH-E,312,FORD MUSTANG MACH-E
1999,FORD,RANGER,74,FORD RANGER
2022,FORD,TRANSIT,126,FORD TRANSIT
2023,FORD,TRANSIT,126,FORD TRANSIT
2017,HYUNDAI,IONIQ,124,HYUNDAI IONIQ
2018,HYUNDAI,IONIQ,124,HYUNDAI IONIQ
2018,HYUNDAI,IONIQ,124,HYUNDAI IONIQ
2019,HYUNDAI,IONIQ,124,HYUNDAI IONIQ
